  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-10-22 19:07:04.787  
  Recording stop:   ;  2024-10-22 19:22:02.953  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *L2 avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:12:56.976  ;  60.02               ;  12.403             ;  0.65955             ;  0.34985             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:12:59.976  ;  60.02               ;  12.404             ;  0.65840             ;  0.34785             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:13:02.975  ;  60.01               ;  12.403             ;  0.65957             ;  0.34819             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:13:05.974  ;  60.01               ;  12.402             ;  0.65895             ;  0.34773             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:13:08.973  ;  60.01               ;  12.402             ;  0.66080             ;  0.34730             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:13:11.972  ;  60.02               ;  12.402             ;  0.66049             ;  0.34702             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:13:14.973  ;  60.02               ;  12.397             ;  0.65966             ;  0.34847             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:13:17.973  ;  60.02               ;  12.394             ;  0.66092             ;  0.34906             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:13:20.974  ;  60.01               ;  12.393             ;  0.66280             ;  0.34986             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:13:23.975  ;  59.99               ;  12.392             ;  0.66456             ;  0.34915             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:13:26.976  ;  59.99               ;  12.393             ;  0.66290             ;  0.34932             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:13:29.977  ;  59.99               ;  12.394             ;  0.65912             ;  0.34741             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:13:32.978  ;  59.98               ;  12.392             ;  0.65846             ;  0.34860             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:13:35.978  ;  59.98               ;  12.391             ;  0.65971             ;  0.34856             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:13:38.979  ;  59.98               ;  12.392             ;  0.66077             ;  0.34795             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:13:41.978  ;  59.99               ;  12.394             ;  0.66255             ;  0.34729             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:13:44.978  ;  59.99               ;  12.394             ;  0.66247             ;  0.34880             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:13:47.978  ;  59.99               ;  12.391             ;  0.66029             ;  0.34900             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:13:50.979  ;  59.99               ;  12.388             ;  0.65927             ;  0.34795             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:13:53.981  ;  60.00               ;  12.386             ;  0.65707             ;  0.34847             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:13:56.982  ;  60.00               ;  12.385             ;  0.65859             ;  0.35004             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:13:59.984  ;  60.00               ;  12.387             ;  0.66227             ;  0.34819             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:14:02.986  ;  59.97               ;  12.385             ;  0.66074             ;  0.34768             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:14:05.987  ;  59.97               ;  12.389             ;  0.65885             ;  0.34814             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:14:08.989  ;  59.97               ;  12.389             ;  0.65897             ;  0.34894             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:14:11.991  ;  59.96               ;  12.390             ;  0.65912             ;  0.34740             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:14:14.993  ;  59.96               ;  12.391             ;  0.66180             ;  0.34751             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:14:17.995  ;  59.96               ;  12.388             ;  0.66283             ;  0.34793             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:14:20.996  ;  59.96               ;  12.388             ;  0.66235             ;  0.34799             
