  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-10-11 19:59:02.586  
  Recording stop:   ;  2024-10-11 20:13:59.975  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *N avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:05:03.057  ;  59.99               ;  12.446             ;  0.58846             ;  0.32519            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:05:06.058  ;  59.99               ;  12.445             ;  0.58784             ;  0.32442            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:05:09.059  ;  59.99               ;  12.443             ;  0.58922             ;  0.32401            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:05:12.060  ;  59.98               ;  12.450             ;  0.58956             ;  0.32460            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:05:15.061  ;  59.98               ;  12.448             ;  0.59030             ;  0.32581            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:05:18.062  ;  59.98               ;  12.448             ;  0.58678             ;  0.33084            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:05:21.063  ;  59.98               ;  12.448             ;  0.58788             ;  0.32622            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:05:24.065  ;  59.98               ;  12.449             ;  0.58813             ;  0.32394            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:05:27.066  ;  59.98               ;  12.449             ;  0.58853             ;  0.32467            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:05:30.067  ;  59.98               ;  12.447             ;  0.58971             ;  0.32494            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:05:33.068  ;  59.98               ;  12.451             ;  0.58819             ;  0.32459            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:05:36.069  ;  59.98               ;  12.451             ;  0.58956             ;  0.32418            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:05:39.070  ;  59.98               ;  12.446             ;  0.58945             ;  0.32487            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:05:42.071  ;  59.98               ;  12.449             ;  0.58907             ;  0.32426            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:05:45.072  ;  59.98               ;  12.446             ;  0.59043             ;  0.32362            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:05:48.073  ;  59.98               ;  12.446             ;  0.59184             ;  0.32333            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:05:51.075  ;  59.98               ;  12.435             ;  0.59050             ;  0.32394            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:05:54.076  ;  59.98               ;  12.446             ;  0.58928             ;  0.32356            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:05:57.077  ;  59.98               ;  12.446             ;  0.58908             ;  0.32307            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:06:00.077  ;  59.98               ;  12.448             ;  0.58882             ;  0.32350            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:06:03.076  ;  59.98               ;  12.447             ;  0.58897             ;  0.32356            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:06:06.075  ;  59.98               ;  12.448             ;  0.58894             ;  0.32456            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:06:09.072  ;  59.98               ;  12.445             ;  0.59050             ;  0.32514            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:06:12.071  ;  60.02               ;  12.445             ;  0.59001             ;  0.32447            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:06:15.069  ;  60.03               ;  12.445             ;  0.59175             ;  0.32337            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:06:18.067  ;  60.03               ;  12.443             ;  0.59119             ;  0.32436            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:06:21.066  ;  60.03               ;  12.441             ;  0.59061             ;  0.32405            
